,Item,ICC,PVal,CI95
44,other-special-issues_trauma-history,1.000,0.000,[nan nan]
40,other-special-issues_self-care-hygiene,1.000,0.000,[nan nan]
51,social-function_social-communication,0.777,0.006,[0.2  0.96]
22,daily-routines_transitions,0.830,0.008,[0.27 0.97]
20,daily-routines_morning-routine,0.779,0.010,[0.23 0.96]
4,behavior_habits-routines,0.754,0.014,[0.18 0.95]
52,social-function_social-cooperation,0.779,0.015,[0.13 0.96]
38,other-special-issues_physically-harms-self,0.750,0.016,[0.15 0.95]
28,emotion_worries-anxiety,0.671,0.024,[0.04 0.93]
54,social-function_tolerance,0.539,0.027,[-0.12  0.9 ]
15,cognition_thinking-speed,0.704,0.028,[0.03 0.94]
1,behavior_anger-management,0.706,0.032,[-0.04  0.94]
36,other-special-issues_bullying,0.625,0.049,[-0.09  0.92]
26,emotion_irritability,0.606,0.053,[-0.1   0.92]
13,cognition_self-image,0.450,0.057,[-0.15  0.86]
9,cognition_abstract-thinking,0.595,0.074,[-0.27  0.92]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.532,0.076,[-0.17  0.9 ]
19,communication_speech-quantity,0.570,0.084,[-0.31  0.91]
0,behavior_activity-level,0.515,0.103,[-0.29  0.9 ]
45,personality_creativity,0.375,0.126,[-0.22  0.84]
24,emotion_emotional-regulation-and-reactivity,0.472,0.129,[-0.37  0.88]
8,behavior_self-control,0.428,0.145,[-0.35  0.87]
21,daily-routines_screen-time,0.463,0.145,[-0.48  0.89]
46,personality_future-outlook,0.394,0.148,[-0.3   0.85]
6,behavior_play,0.307,0.159,[-0.23  0.8 ]
12,cognition_planning-and-organization,0.326,0.204,[-0.39  0.83]
41,other-special-issues_sleep,0.250,0.210,[-0.26  0.78]
53,social-function_social-engagement,0.364,0.212,[-0.61  0.86]
50,personality_self-confidence,0.302,0.253,[-0.63  0.84]
2,behavior_assertiveness,0.306,0.254,[-0.67  0.84]
55,somatic-and-sensory-functions_eating,0.166,0.264,[-0.23  0.71]
27,emotion_stress-management,0.254,0.291,[-0.69  0.82]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.166,0.313,[-0.37  0.75]
23,emotion_attachment,0.179,0.328,[-0.52  0.78]
25,emotion_empathy,0.189,0.347,[-0.79  0.81]
7,behavior_risk-taking,0.166,0.354,[-0.66  0.79]
57,somatic-and-sensory-functions_sexual-identity-behavior,0.124,0.369,[-0.47  0.74]
18,communication_speech-quality,0.063,0.427,[-0.44  0.69]
17,communication_receptive-language,0.000,0.500,[-0.89  0.73]
39,other-special-issues_physically-or-emotionally-harms-others,0.000,0.500,[-0.71  0.71]
49,personality_responsibility-for-self-and-others,0.000,0.500,[-0.5   0.66]
37,other-special-issues_perception-of-reality,-0.000,0.500,[-0.26  0.55]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,-0.000,0.500,[-0.89  0.73]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,-0.000,0.500,[-0.71  0.71]
34,learning-and-acquisition-of-knowledge-and-skills_reading,-0.000,0.500,[-0.61  0.69]
11,cognition_memory-recall,-0.013,0.510,[-0.94  0.73]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,-0.047,0.539,[-0.92  0.71]
56,somatic-and-sensory-functions_sensory-reactivity,-0.067,0.555,[-0.92  0.7 ]
5,behavior_obsessive-thoughts,-0.079,0.563,[-0.98  0.7 ]
10,cognition_attention-concentration,-0.103,0.586,[-0.91  0.68]
16,communication_expressive-language,-0.068,0.602,[-0.4   0.56]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,-0.154,0.674,[-0.62  0.57]
43,other-special-issues_tics-and-other-atypical-movements,-0.286,0.725,[-1.01  0.58]
47,personality_integrity-and-honesty,-0.214,0.728,[-0.69  0.54]
14,cognition_task-completion,-0.419,0.815,[-1.05  0.49]
48,personality_perseverance,-0.203,0.852,[-0.4   0.43]
3,behavior_compliance,-0.810,0.952,[-1.26  0.16]
42,other-special-issues_substance-use,,,[nan nan]
58,toileting,,,[nan nan]
