,Item,ICC,PVal,CI95
43,other-special-issues_tics-and-other-atypical-movements,1.000,0.000,[nan nan]
11,cognition_memory-recall,0.933,0.000,[0.81 0.98]
21,daily-routines_screen-time,0.918,0.000,[0.76 0.97]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.870,0.000,[0.65 0.96]
41,other-special-issues_sleep,0.860,0.000,[0.63 0.95]
18,communication_speech-quality,0.866,0.000,[0.64 0.95]
16,communication_expressive-language,0.830,0.000,[0.55 0.94]
17,communication_receptive-language,0.807,0.000,[0.52 0.93]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.807,0.000,[0.51 0.93]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.804,0.000,[0.51 0.93]
27,emotion_stress-management,0.802,0.000,[0.5  0.93]
15,cognition_thinking-speed,0.805,0.000,[0.49 0.93]
52,social-function_social-cooperation,0.768,0.000,[0.44 0.92]
13,cognition_self-image,0.772,0.000,[0.44 0.92]
9,cognition_abstract-thinking,0.770,0.000,[0.44 0.92]
19,communication_speech-quantity,0.726,0.001,[0.34 0.9 ]
26,emotion_irritability,0.740,0.001,[0.37 0.91]
1,behavior_anger-management,0.730,0.001,[0.36 0.9 ]
14,cognition_task-completion,0.710,0.001,[0.33 0.9 ]
28,emotion_worries-anxiety,0.687,0.002,[0.29 0.89]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.628,0.002,[0.16 0.86]
22,daily-routines_transitions,0.688,0.002,[0.28 0.89]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.641,0.003,[0.21 0.87]
51,social-function_social-communication,0.669,0.003,[0.25 0.88]
0,behavior_activity-level,0.662,0.004,[0.24 0.88]
58,toileting,0.649,0.004,[0.22 0.87]
50,personality_self-confidence,0.621,0.005,[0.19 0.86]
10,cognition_attention-concentration,0.632,0.007,[0.16 0.87]
4,behavior_habits-routines,0.548,0.010,[0.08 0.82]
36,other-special-issues_bullying,0.552,0.010,[0.09 0.83]
46,personality_future-outlook,0.512,0.011,[0.03 0.81]
20,daily-routines_morning-routine,0.558,0.012,[0.1  0.83]
12,cognition_planning-and-organization,0.594,0.012,[0.09 0.85]
56,somatic-and-sensory-functions_sensory-reactivity,0.575,0.014,[0.09 0.84]
55,somatic-and-sensory-functions_eating,0.565,0.015,[0.08 0.84]
25,emotion_empathy,0.564,0.017,[0.05 0.84]
54,social-function_tolerance,0.524,0.019,[0.05 0.81]
2,behavior_assertiveness,0.538,0.024,[0.01 0.83]
23,emotion_attachment,0.483,0.028,[-0.    0.79]
3,behavior_compliance,0.520,0.028,[-0.02  0.82]
5,behavior_obsessive-thoughts,0.430,0.053,[-0.08  0.77]
24,emotion_emotional-regulation-and-reactivity,0.441,0.057,[-0.12  0.78]
37,other-special-issues_perception-of-reality,0.301,0.079,[-0.13  0.68]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.396,0.082,[-0.18  0.76]
45,personality_creativity,0.345,0.090,[-0.15  0.72]
48,personality_perseverance,0.345,0.091,[-0.15  0.72]
53,social-function_social-engagement,0.346,0.112,[-0.23  0.73]
49,personality_responsibility-for-self-and-others,0.290,0.121,[-0.18  0.68]
7,behavior_risk-taking,0.188,0.239,[-0.31  0.63]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.130,0.332,[-0.46  0.61]
47,personality_integrity-and-honesty,0.087,0.382,[-0.46  0.58]
44,other-special-issues_trauma-history,0.000,0.500,[-0.4   0.47]
57,somatic-and-sensory-functions_sexual-identity-behavior,-0.000,0.500,[-0.48  0.5 ]
39,other-special-issues_physically-or-emotionally-harms-others,-0.000,0.500,[-0.51  0.51]
40,other-special-issues_self-care-hygiene,-0.114,0.649,[-0.64  0.44]
6,behavior_play,-0.147,0.773,[-0.46  0.31]
8,behavior_self-control,-0.245,0.793,[-0.74  0.34]
38,other-special-issues_physically-harms-self,,,[nan nan]
42,other-special-issues_substance-use,,,[nan nan]
