,Item,ICC,PVal,CI95
13,cognition_self-image,0.905,0.003,[0.52 0.99]
11,cognition_memory-recall,0.845,0.003,[0.23 0.98]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.629,0.007,[-0.11  0.94]
52,social-function_social-cooperation,0.799,0.019,[0.14 0.97]
1,behavior_anger-management,0.688,0.020,[-0.03  0.95]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.792,0.020,[0.13 0.97]
24,emotion_emotional-regulation-and-reactivity,0.753,0.028,[0.05 0.96]
28,emotion_worries-anxiety,0.774,0.028,[-0.03  0.97]
19,communication_speech-quantity,0.670,0.065,[-0.3   0.95]
18,communication_speech-quality,0.614,0.068,[-0.16  0.93]
26,emotion_irritability,0.653,0.071,[-0.31  0.94]
50,personality_self-confidence,0.613,0.091,[-0.42  0.94]
4,behavior_habits-routines,0.536,0.101,[-0.26  0.92]
46,personality_future-outlook,0.549,0.103,[-0.29  0.92]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.412,0.126,[-0.23  0.88]
27,emotion_stress-management,0.508,0.136,[-0.45  0.91]
6,behavior_play,0.331,0.138,[-0.2   0.84]
14,cognition_task-completion,0.422,0.153,[-0.32  0.89]
2,behavior_assertiveness,0.390,0.170,[-0.34  0.88]
16,communication_expressive-language,0.219,0.218,[-0.21  0.78]
48,personality_perseverance,0.280,0.246,[-0.41  0.84]
45,personality_creativity,0.224,0.251,[-0.29  0.8 ]
53,social-function_social-engagement,0.237,0.290,[-0.49  0.83]
8,behavior_self-control,0.262,0.309,[-0.84  0.86]
15,cognition_thinking-speed,0.120,0.373,[-0.43  0.76]
22,daily-routines_transitions,0.101,0.405,[-0.56  0.78]
12,cognition_planning-and-organization,0.077,0.423,[-0.51  0.76]
55,somatic-and-sensory-functions_eating,0.092,0.424,[-0.73  0.79]
7,behavior_risk-taking,0.068,0.437,[-0.58  0.76]
51,social-function_social-communication,0.070,0.449,[-0.99  0.81]
49,personality_responsibility-for-self-and-others,0.051,0.463,[-1.02  0.8 ]
9,cognition_abstract-thinking,0.049,0.465,[-1.01  0.8 ]
20,daily-routines_morning-routine,0.000,0.500,[-0.51  0.71]
56,somatic-and-sensory-functions_sensory-reactivity,0.000,0.500,[-0.52  0.71]
43,other-special-issues_tics-and-other-atypical-movements,0.000,0.500,[-0.75  0.75]
44,other-special-issues_trauma-history,0.000,0.500,[-0.75  0.75]
41,other-special-issues_sleep,0.000,0.500,[-0.75  0.75]
58,toileting,0.000,0.500,[-0.52  0.71]
36,other-special-issues_bullying,0.000,0.500,[-0.75  0.75]
5,behavior_obsessive-thoughts,-0.000,0.500,[-0.97  0.78]
17,communication_receptive-language,-0.018,0.513,[-1.03  0.78]
0,behavior_activity-level,-0.181,0.637,[-0.97  0.69]
21,daily-routines_screen-time,-0.250,0.666,[-1.19  0.69]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,-0.163,0.701,[-0.53  0.58]
25,emotion_empathy,-0.310,0.743,[-0.95  0.61]
10,cognition_attention-concentration,-0.257,0.764,[-0.68  0.56]
34,learning-and-acquisition-of-knowledge-and-skills_reading,-0.473,0.802,[-1.21  0.56]
3,behavior_compliance,-0.407,0.802,[-1.01  0.55]
47,personality_integrity-and-honesty,-0.529,0.826,[-1.24  0.53]
23,emotion_attachment,-0.533,0.859,[-1.11  0.48]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,-0.575,0.877,[-1.13  0.45]
54,social-function_tolerance,-0.498,0.898,[-0.88  0.45]
35,learning-and-acquisition-of-knowledge-and-skills_writing,-0.534,0.964,[-0.72  0.36]
37,other-special-issues_perception-of-reality,,,[nan nan]
38,other-special-issues_physically-harms-self,,,[nan nan]
39,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
40,other-special-issues_self-care-hygiene,,,[nan nan]
42,other-special-issues_substance-use,,,[nan nan]
57,somatic-and-sensory-functions_sexual-identity-behavior,,,[nan nan]
