,Item,ICC,PVal,CI95
40,other-special-issues_self-care-hygiene,1.000,0.000,[nan nan]
56,somatic-and-sensory-functions_sensory-reactivity,0.929,0.000,[0.66 0.99]
13,cognition_self-image,0.928,0.001,[0.66 0.99]
4,behavior_habits-routines,0.917,0.001,[0.58 0.99]
1,behavior_anger-management,0.877,0.002,[0.5  0.98]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.837,0.002,[0.3  0.97]
53,social-function_social-engagement,0.862,0.003,[0.44 0.97]
19,communication_speech-quantity,0.870,0.004,[0.41 0.98]
7,behavior_risk-taking,0.861,0.004,[0.37 0.97]
46,personality_future-outlook,0.810,0.007,[0.3  0.96]
55,somatic-and-sensory-functions_eating,0.829,0.008,[0.27 0.97]
28,emotion_worries-anxiety,0.806,0.008,[0.29 0.96]
21,daily-routines_screen-time,0.730,0.009,[0.08 0.95]
9,cognition_abstract-thinking,0.755,0.014,[0.17 0.95]
20,daily-routines_morning-routine,0.763,0.016,[0.15 0.95]
18,communication_speech-quality,0.691,0.020,[0.07 0.94]
41,other-special-issues_sleep,0.727,0.020,[0.1  0.95]
36,other-special-issues_bullying,0.727,0.020,[0.1  0.95]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.751,0.020,[0.07 0.95]
27,emotion_stress-management,0.752,0.021,[0.04 0.95]
10,cognition_attention-concentration,0.632,0.023,[-0.03  0.92]
50,personality_self-confidence,0.693,0.025,[0.06 0.94]
23,emotion_attachment,0.729,0.027,[-0.02  0.95]
12,cognition_planning-and-organization,0.716,0.028,[-0.    0.94]
6,behavior_play,0.684,0.039,[-0.1   0.94]
0,behavior_activity-level,0.653,0.044,[-0.08  0.93]
39,other-special-issues_physically-or-emotionally-harms-others,0.625,0.049,[-0.09  0.92]
16,communication_expressive-language,0.642,0.054,[-0.18  0.93]
24,emotion_emotional-regulation-and-reactivity,0.532,0.060,[-0.12  0.89]
8,behavior_self-control,0.627,0.061,[-0.23  0.93]
14,cognition_task-completion,0.536,0.069,[-0.14  0.9 ]
5,behavior_obsessive-thoughts,0.510,0.085,[-0.19  0.89]
22,daily-routines_transitions,0.507,0.086,[-0.19  0.89]
2,behavior_assertiveness,0.468,0.117,[-0.28  0.88]
48,personality_perseverance,0.408,0.157,[-0.37  0.86]
25,emotion_empathy,0.411,0.171,[-0.48  0.87]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.306,0.172,[-0.25  0.81]
26,emotion_irritability,0.305,0.187,[-0.29  0.81]
15,cognition_thinking-speed,0.361,0.214,[-0.62  0.86]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.215,0.248,[-0.29  0.76]
45,personality_creativity,0.196,0.300,[-0.43  0.77]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.076,0.348,[-0.18  0.59]
3,behavior_compliance,0.102,0.406,[-0.65  0.75]
54,social-function_tolerance,0.090,0.420,[-0.71  0.76]
51,social-function_social-communication,0.001,0.499,[-0.7   0.71]
38,other-special-issues_physically-harms-self,0.000,0.500,[-0.71  0.71]
58,toileting,0.000,0.500,[-0.53  0.67]
49,personality_responsibility-for-self-and-others,-0.190,0.648,[-1.03  0.65]
11,cognition_memory-recall,-0.144,0.663,[-0.62  0.58]
35,learning-and-acquisition-of-knowledge-and-skills_writing,-0.187,0.719,[-0.61  0.54]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,-0.303,0.724,[-1.1   0.59]
52,social-function_social-cooperation,-0.433,0.805,[-1.13  0.51]
17,communication_receptive-language,-0.288,0.844,[-0.62  0.45]
47,personality_integrity-and-honesty,-0.936,1.000,[-1.   -0.41]
44,other-special-issues_trauma-history,1.000,1.000,[1. 1.]
37,other-special-issues_perception-of-reality,,,[nan nan]
42,other-special-issues_substance-use,,,[nan nan]
43,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
57,somatic-and-sensory-functions_sexual-identity-behavior,,,[nan nan]
