,emotion,conduct,hyper,peer,prosoc,tot
emotion_irritability,0.10,0.71,0.19,0.31,-0.47,0.55
behavior_anger-management,-0.07,0.77,0.32,0.22,-0.43,0.54
behavior_self-control,-0.11,0.61,0.48,0.07,-0.19,0.49
behavior_assertiveness,-0.07,0.65,0.27,0.11,-0.36,0.43
social-function_social-engagement,0.07,0.36,0.22,0.17,-0.24,0.36
behavior_play,-0.03,0.49,0.33,-0.12,-0.02,0.33
behavior_risk-taking,-0.21,0.64,0.21,0.09,-0.23,0.32
emotion_emotional-regulation-and-reactivity,0.38,0.36,0.05,-0.06,0.09,0.31
social-function_social-communication,0.04,0.22,0.09,0.36,-0.29,0.29
somatic-and-sensory-functions_eating,-0.07,0.12,0.34,0.19,-0.01,0.28
emotion_stress-management,0.65,0.13,-0.22,0.11,0.09,0.25
daily-routines_screen-time,-0.14,0.42,0.16,0.11,-0.34,0.24
behavior_activity-level,-0.01,0.27,0.33,-0.28,0.12,0.19
emotion_worries-anxiety,0.83,-0.10,-0.20,-0.04,0.40,0.18
communication_speech-quantity,0.29,0.25,-0.04,-0.06,0.21,0.18
communication_expressive-language,0.12,0.21,0.05,-0.02,0.05,0.16
learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.34,0.16,-0.14,-0.04,0.20,0.12
other-special-issues_substance-use,-0.06,0.08,0.16,-0.05,-0.22,0.08
other-special-issues_tics-and-other-atypical-movements,-0.25,0.18,0.17,0.04,-0.14,0.07
communication_receptive-language,0.04,0.07,-0.08,0.14,-0.14,0.05
other-special-issues_sleep,-0.41,0.23,0.19,0.09,-0.36,0.05
toileting,0.27,0.13,-0.22,0.00,0.23,0.05
emotion_attachment,0.14,0.13,0.08,-0.32,0.09,0.04
somatic-and-sensory-functions_sexual-identity-behavior,0.25,0.05,-0.08,-0.14,0.22,0.04
behavior_obsessive-thoughts,0.56,-0.03,-0.35,-0.07,0.19,0.00
cognition_thinking-speed,0.02,0.16,0.01,-0.25,0.21,-0.01
cognition_self-image,-0.64,0.14,0.32,0.08,-0.17,-0.01
daily-routines_morning-routine,0.05,0.03,-0.07,0.00,-0.06,-0.01
learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.19,0.09,-0.12,-0.18,0.33,-0.01
learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.29,0.04,-0.18,-0.16,0.31,-0.01
social-function_tolerance,0.16,0.27,-0.15,-0.29,0.31,-0.02
learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.22,-0.00,-0.17,-0.11,0.23,-0.04
personality_perseverance,0.06,0.12,-0.12,-0.14,0.03,-0.05
other-special-issues_physically-harms-self,-0.29,0.03,0.16,-0.09,-0.18,-0.05
learning-and-acquisition-of-knowledge-and-skills_writing,0.20,0.05,-0.17,-0.18,0.17,-0.05
communication_speech-quality,0.30,-0.06,-0.21,-0.10,0.27,-0.05
learning-and-acquisition-of-knowledge-and-skills_reading,0.16,0.06,-0.15,-0.19,0.18,-0.06
social-function_social-cooperation,0.28,-0.08,-0.19,-0.15,0.52,-0.07
other-special-issues_perception-of-reality,-0.39,0.02,0.29,-0.22,0.11,-0.07
daily-routines_transitions,-0.17,0.01,-0.06,-0.01,0.00,-0.10
somatic-and-sensory-functions_sensory-reactivity,-0.20,-0.06,0.01,-0.01,-0.15,-0.11
personality_integrity-and-honesty,0.01,0.07,-0.09,-0.26,0.31,-0.11
other-special-issues_self-care-hygiene,0.08,-0.02,-0.10,-0.23,0.29,-0.12
personality_future-outlook,-0.69,-0.05,0.31,-0.01,-0.17,-0.14
behavior_habits-routines,0.19,-0.05,-0.28,-0.12,0.05,-0.14
cognition_abstract-thinking,0.25,0.07,-0.25,-0.40,0.58,-0.15
personality_creativity,0.31,0.05,-0.29,-0.38,0.30,-0.15
learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.55,-0.24,-0.45,-0.16,0.48,-0.17
personality_self-confidence,-0.59,0.05,0.19,-0.16,-0.04,-0.18
other-special-issues_trauma-history,-0.37,-0.07,0.10,-0.22,-0.08,-0.21
emotion_empathy,0.39,-0.32,-0.19,-0.41,0.77,-0.22
other-special-issues_bullying,-0.26,-0.15,-0.04,-0.37,0.03,-0.32
behavior_compliance,0.26,-0.57,-0.38,-0.07,0.30,-0.36
personality_responsibility-for-self-and-others,0.31,-0.43,-0.33,-0.39,0.70,-0.37
cognition_task-completion,0.24,-0.19,-0.53,-0.27,0.40,-0.37
cognition_memory-recall,0.16,-0.13,-0.43,-0.41,0.34,-0.37
cognition_planning-and-organization,0.37,-0.31,-0.65,-0.31,0.35,-0.44
cognition_attention-concentration,0.34,-0.29,-0.77,-0.25,0.36,-0.50
other-special-issues_physically-or-emotionally-harms-others,0.19,-0.68,-0.33,-0.35,0.52,-0.50
