,Item,ICC,PVal,CI95
42,other-special-issues_substance-use,1.000,0.000,[nan nan]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.810,0.000,[0.71 0.88]
19,communication_speech-quantity,0.782,0.000,[0.66 0.86]
9,cognition_abstract-thinking,0.778,0.000,[0.66 0.86]
55,somatic-and-sensory-functions_eating,0.758,0.000,[0.63 0.85]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.732,0.000,[0.59 0.83]
57,somatic-and-sensory-functions_sexual-identity-behavior,0.728,0.000,[0.59 0.83]
18,communication_speech-quality,0.704,0.000,[0.56 0.81]
1,behavior_anger-management,0.692,0.000,[0.54 0.8 ]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.689,0.000,[0.53 0.8 ]
38,other-special-issues_physically-harms-self,0.683,0.000,[0.53 0.8 ]
0,behavior_activity-level,0.674,0.000,[0.51 0.79]
39,other-special-issues_physically-or-emotionally-harms-others,0.674,0.000,[0.51 0.79]
44,other-special-issues_trauma-history,0.665,0.000,[0.5  0.78]
25,emotion_empathy,0.651,0.000,[0.48 0.77]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.648,0.000,[0.48 0.77]
36,other-special-issues_bullying,0.648,0.000,[0.48 0.77]
28,emotion_worries-anxiety,0.647,0.000,[0.48 0.77]
52,social-function_social-cooperation,0.646,0.000,[0.48 0.77]
54,social-function_tolerance,0.640,0.000,[0.47 0.77]
56,somatic-and-sensory-functions_sensory-reactivity,0.612,0.000,[0.43 0.75]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.592,0.000,[0.41 0.73]
7,behavior_risk-taking,0.579,0.000,[0.39 0.72]
15,cognition_thinking-speed,0.542,0.000,[0.34 0.69]
21,daily-routines_screen-time,0.535,0.000,[0.33 0.69]
10,cognition_attention-concentration,0.535,0.000,[0.33 0.69]
49,personality_responsibility-for-self-and-others,0.535,0.000,[0.33 0.69]
40,other-special-issues_self-care-hygiene,0.530,0.000,[0.33 0.69]
8,behavior_self-control,0.518,0.000,[0.31 0.68]
27,emotion_stress-management,0.515,0.000,[0.31 0.68]
46,personality_future-outlook,0.511,0.000,[0.3  0.67]
45,personality_creativity,0.507,0.000,[0.3  0.67]
14,cognition_task-completion,0.503,0.000,[0.29 0.67]
26,emotion_irritability,0.496,0.000,[0.29 0.66]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.485,0.000,[0.27 0.65]
47,personality_integrity-and-honesty,0.481,0.000,[0.27 0.65]
13,cognition_self-image,0.479,0.000,[0.27 0.65]
41,other-special-issues_sleep,0.466,0.000,[0.25 0.64]
5,behavior_obsessive-thoughts,0.465,0.000,[0.25 0.64]
24,emotion_emotional-regulation-and-reactivity,0.438,0.000,[0.22 0.62]
12,cognition_planning-and-organization,0.416,0.000,[0.19 0.6 ]
50,personality_self-confidence,0.388,0.001,[0.16 0.58]
4,behavior_habits-routines,0.385,0.001,[0.16 0.58]
11,cognition_memory-recall,0.367,0.001,[0.13 0.56]
58,toileting,0.355,0.002,[0.12 0.55]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.352,0.002,[0.12 0.55]
53,social-function_social-engagement,0.352,0.002,[0.12 0.55]
3,behavior_compliance,0.349,0.002,[0.11 0.55]
20,daily-routines_morning-routine,0.336,0.003,[0.1  0.54]
43,other-special-issues_tics-and-other-atypical-movements,0.310,0.006,[0.07 0.52]
22,daily-routines_transitions,0.277,0.013,[0.03 0.49]
2,behavior_assertiveness,0.266,0.016,[0.02 0.48]
23,emotion_attachment,0.264,0.017,[0.02 0.48]
17,communication_receptive-language,0.204,0.052,[-0.04  0.43]
51,social-function_social-communication,0.188,0.068,[-0.06  0.41]
48,personality_perseverance,0.181,0.076,[-0.07  0.41]
16,communication_expressive-language,0.149,0.119,[-0.1   0.38]
37,other-special-issues_perception-of-reality,0.060,0.318,[-0.19  0.3 ]
6,behavior_play,0.022,0.431,[-0.22  0.27]
